Datetime,Open,High,Low,Close,Volume
1628728680.0,1.81808,1.820891,1.821092,1.818077,2521.93531679
1628728740.0,1.821352,1.828645,1.831031,1.821352,45228.63320234
1628728800.0,1.827068,1.828264,1.829264,1.82495,47983.8953761
1628728860.0,1.827266,1.83155,1.83155,1.826485,20248.83268404
1628728920.0,1.831562,1.83118,1.834439,1.830523,8874.16262383
1628728980.0,1.82987,1.83117,1.83117,1.827679,60300.30458269
1628729040.0,1.830748,1.83147,1.833,1.830261,13224.0531
1628729100.0,1.83353,1.826599,1.834299,1.826599,18643.96991121
1628729160.0,1.826218,1.82596,1.826218,1.82423,3860.6504
1628729220.0,1.82423,1.834261,1.834545,1.824027,19111.417
1628729280.0,1.83456,1.838811,1.84075,1.83456,34997.8335
1628729340.0,1.839409,1.835002,1.839409,1.832638,17995.12223569
1628729400.0,1.832796,1.831,1.83465,1.831,24359.302237
1628729460.0,1.832409,1.830604,1.835553,1.830604,4801.3137071
1628729520.0,1.830824,1.836348,1.839448,1.82974,151280.09031904
1628729580.0,1.83407,1.832267,1.835365,1.830445,21125.69790171
1628729640.0,1.832713,1.833512,1.83356,1.830988,4913.52851362
1628729700.0,1.832745,1.833996,1.837197,1.832105,20932.11596569
1628729760.0,1.83353,1.835625,1.837372,1.83353,67172.93530076
1628729820.0,1.8345,1.837408,1.837408,1.832794,16587.16804925
1628729880.0,1.835761,1.838075,1.83924,1.835725,7656.67405181
1628729940.0,1.837575,1.840625,1.842322,1.837549,22207.22355946
1628730000.0,1.840526,1.835379,1.840635,1.835379,12594.91505047
1628730060.0,1.835746,1.835408,1.837184,1.835123,24644.22145675
1628730120.0,1.835689,1.832844,1.835689,1.83266,8457.05171113
1628730180.0,1.83249,1.831085,1.832918,1.831049,30122.63729071
1628730240.0,1.831027,1.82825,1.831027,1.82825,15045.36503089
1628730300.0,1.828233,1.826936,1.828233,1.820779,181230.92429827
1628730360.0,1.826613,1.82424,1.826699,1.824239,5565.2931
1628730420.0,1.82424,1.824921,1.82579,1.82424,16517.79300457
1628730480.0,1.825763,1.829704,1.829704,1.825763,1276.28191895
1628730540.0,1.829438,1.829443,1.83,1.827885,7323.86916666
1628730600.0,1.82849,1.82587,1.82849,1.82587,3514.83365164
1628730660.0,1.826504,1.824901,1.827675,1.824901,16242.68626384
1628730720.0,1.824745,1.825,1.825654,1.824561,17830.74227208
1628730780.0,1.82524,1.826418,1.829464,1.82524,10191.5394237
1628730840.0,1.827983,1.828252,1.828432,1.826524,32582.37798662
1628730900.0,1.827944,1.827572,1.82869,1.824694,28353.22447368
1628730960.0,1.828347,1.828383,1.829199,1.827225,15873.67795908
1628731020.0,1.827444,1.828219,1.829712,1.827444,3167.73742817
1628731080.0,1.827922,1.833887,1.833887,1.827922,30373.8839016
1628731140.0,1.83225,1.834797,1.834797,1.831606,22092.70010976
1628731200.0,1.833975,1.837397,1.83804,1.832756,49691.42424913
1628731260.0,1.837031,1.840445,1.841665,1.835795,42652.12556211
1628731320.0,1.841374,1.839475,1.841757,1.83863,39896.80444433
1628731380.0,1.840282,1.839896,1.841182,1.837646,24252.75253905
1628731440.0,1.840457,1.841654,1.841946,1.840399,8720.8906018
1628731500.0,1.840829,1.837876,1.840829,1.836726,35743.6655
1628731560.0,1.83856,1.834426,1.83856,1.834011,78860.91475621
1628731620.0,1.834588,1.832637,1.835224,1.831735,16411.2898625
1628731680.0,1.832674,1.832205,1.833909,1.832205,13750.67148485
1628731740.0,1.832861,1.831079,1.832917,1.830001,10383.6328
1628731800.0,1.831079,1.834393,1.834393,1.829622,37158.71379289
1628731860.0,1.833055,1.834,1.83633,1.833055,11941.72933792
1628731920.0,1.833494,1.840189,1.847,1.832551,183947.17018619
1628731980.0,1.840347,1.8425,1.845067,1.840347,19183.83568504
1628732040.0,1.842572,1.841566,1.844546,1.841492,22712.08490046
1628732100.0,1.841414,1.8375,1.842272,1.837,22619.64250296
